ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName,ResultMeasureValue,AU,Impaired,Segment,TMDL,geometry,USGSSite_No,Flow
2017-10-25,TCEQMAIN-10532,Escherichia coli,130,0611C_01,Y,0611C,0,"c(-94.9961, 31.8562)",NA,NA
2018-05-14,TCEQMAIN-16929,Escherichia coli,17,1404A_01,N,1404A,0,"c(-98.2298, 30.622)",NA,NA
2016-08-25,TCEQMAIN-12857,Escherichia coli,33,1908_02,N,1908,0,"c(-98.7541, 29.8148)",NA,NA
2013-07-09,TCEQMAIN-12811,Escherichia coli,100,1903_01,Y,1903,0,"c(-98.4529, 29.2387)",NA,NA
2018-04-03,TCEQMAIN-13543,Escherichia coli,22,1206_01,N,1206,0,"c(-97.9257, 32.6158)",USGS-08090800,122
2016-10-13,TCEQMAIN-11360,Escherichia coli,290,1014_01,Y,1014,1,"c(-95.5574, 29.7625)",USGS-08073600,88.2
2016-10-18,TCEQMAIN-10969,Escherichia coli,130,0810_01,Y,0810,0,"c(-97.5584, 33.0857)",USGS-08044500,107
2012-01-23,TCEQMAIN-13486,Escherichia coli,10,1226B_01,N,1226B,0,"c(-98.1262, 32.0368)",NA,NA
2014-08-11,TCEQMAIN-13667,Escherichia coli,29,1410_04,N,1410,0,"c(-99.5736, 31.4936)",USGS-08136700,10.8
2013-10-09,TCEQMAIN-11425,Escherichia coli,51,1102A_02,Y,1102A,1,"c(-95.1903, 29.518)",NA,NA
2018-08-27,TCEQMAIN-14932,Escherichia coli,160,1804A_01,Y,1804A,0,"c(-97.9662, 29.6697)",NA,NA
2013-05-07,TCEQMAIN-12715,Escherichia coli,24000,1911C_01,Y,1911C,1,"c(-98.5084, 29.4135)",NA,NA
2013-07-16,TCEQMAIN-17495,Escherichia coli,730,1016_01,Y,1016,1,"c(-95.5368, 29.9505)",USGS-08075780,NA
2018-01-18,TCEQMAIN-16654,Escherichia coli,460,1007L_01,Y,1007L,1,"c(-95.5058, 29.671)",USGS-08074810,89.7
2013-10-01,TCEQMAIN-11123,Escherichia coli,560,0902_01,Y,0902,0,"c(-95.0541, 30.0358)",NA,NA
2015-02-25,TCEQMAIN-20212,Escherichia coli,880,1014_01,Y,1014,1,"c(-95.456, 29.76)",NA,NA
2014-07-15,TCEQMAIN-12735,Escherichia coli,37,1912A_01,N,1912A,0,"c(-98.6673, 29.3907)",NA,NA
2014-01-07,TCEQMAIN-15850,Escherichia coli,20,1007B_01,Y,1007B,1,"c(-95.6045, 29.7215)",USGS-08074760,24.9
2018-08-22,TCEQMAIN-12675,Escherichia coli,23,1815_01,N,1815,0,"c(-98.0908, 30.0028)",NA,NA
2015-01-20,TCEQMAIN-15815,Escherichia coli,14000,2304_02,Y,2304,0,"c(-99.4917, 27.4289)",NA,NA
2015-10-24,TCEQMAIN-12647,Escherichia coli,3000,1810_02,Y,1810,0,"c(-97.6153, 29.8653)",NA,NA
2012-01-04,TCEQMAIN-16657,Escherichia coli,6,1007M_01,Y,1007M,1,"c(-95.2325, 29.7755)",USGS-08075770,6.13
2017-04-19,TCEQMAIN-11123,Escherichia coli,260,0902_01,Y,0902,0,"c(-95.0541, 30.0358)",NA,NA
2015-04-03,TCEQMAIN-16493,Escherichia coli,52,1101B_01,Y,1101B,1,"c(-95.1941, 29.5039)",NA,NA
2014-01-29,TCEQMAIN-12791,Escherichia coli,86,1901_02,Y,1901,1,"c(-97.3848, 28.6498)",USGS-08188500,276
2012-02-01,TCEQMAIN-10016,Escherichia coli,230,0101A_01,N,0101A,0,"c(-101.3427, 35.7422)",NA,NA
2017-11-01,TCEQMAIN-10140,Escherichia coli,30,0211_01,N,0211,0,"c(-97.9898, 33.8951)",NA,NA
2018-05-16,TCEQMAIN-12875,Escherichia coli,180,1910_04,Y,1910,1,"c(-98.4211, 29.4965)",NA,NA
2016-05-18,TCEQMAIN-17607,Escherichia coli,240,1226A_01,N,1226A,0,"c(-98.0192, 32.0864)",NA,NA
2013-10-11,TCEQMAIN-20153,Escherichia coli,34,0409A_01,Y,0409A,0,"c(-95.017, 32.928)",NA,NA
2016-05-25,TCEQMAIN-11846,Escherichia coli,290,1202_02,N,1202,0,"c(-95.7575, 29.5822)",USGS-08114000,49200
2018-05-16,TCEQMAIN-20309,Escherichia coli,15,1250_01,N,1250,0,"c(-97.7343, 30.6198)",USGS-08104900,3.5
2018-02-05,TCEQMAIN-11371,Escherichia coli,96,1016_02,Y,1016,1,"c(-95.3067, 29.9183)",USGS-08076000,38.7
2012-06-25,TCEQMAIN-11330,Escherichia coli,200,1009_03,Y,1009,1,"c(-95.5121, 30.0067)",USGS-08068900,NA
2013-09-23,TCEQMAIN-12508,Escherichia coli,440,1432_01,N,1432,0,"c(-98.9716, 31.732)",USGS-08143500,NA
2013-10-09,TCEQMAIN-10340,Escherichia coli,57,0503_02,N,0503,0,"c(-93.509, 30.8683)",NA,NA
2014-03-19,TCEQMAIN-16625,Escherichia coli,58,1011_01,Y,1011,1,"c(-95.2226, 30.3133)",NA,NA
2016-09-21,TCEQMAIN-11238,Escherichia coli,130,1003_02,Y,1003,1,"c(-95.1039, 30.3367)",USGS-08070000,28.5
2014-06-05,TCEQMAIN-13276,Escherichia coli,88,2314_01,Y,2314,0,"c(-106.6066, 31.9686)",NA,NA
2015-12-15,TCEQMAIN-12883,Escherichia coli,1100,1911_04,Y,1911,1,"c(-98.2029, 29.1685)",NA,NA
2012-10-02,TCEQMAIN-12546,Escherichia coli,230,1806A_01,Y,1806A,0,"c(-99.1231, 30.0162)",NA,NA
2017-02-15,TCEQMAIN-13628,Escherichia coli,920,0505_03,N,0505,0,"c(-94.3538, 32.3288)",USGS-08022040,1300
2014-11-05,TCEQMAIN-12791,Escherichia coli,620,1901_02,Y,1901,1,"c(-97.3848, 28.6498)",USGS-08188500,292
2016-07-12,TCEQMAIN-10991,Escherichia coli,94,0819_01,Y,0819,0,"c(-96.485, 32.6383)",USGS-08062000,394
2015-05-06,TCEQMAIN-12541,Escherichia coli,2400,1806D_01,Y,1806D,1,"c(-99.1342, 30.0347)",NA,NA
2014-04-09,TCEQMAIN-13740,Escherichia coli,280,0821D_01,Y,0821D,0,"c(-96.609, 33.2438)",USGS-08058900,NA
2017-12-13,TCEQMAIN-14256,Escherichia coli,75,1911_09,Y,1911,1,"c(-98.4947, 29.3931)",USGS-08178000,21.9
2018-05-09,TCEQMAIN-11961,Escherichia coli,170,1226_04,N,1226,0,"c(-98.035, 31.9772)",USGS-08094800,NA
2018-10-17,TCEQMAIN-10072,Escherichia coli,28,0299A_01,Y,0299A,0,"c(-100.2901, 35.4994)",NA,NA
2014-06-10,TCEQMAIN-16244,Escherichia coli,1600,1806_10,N,1806,1,"c(-99.1446, 30.0471)",USGS-08166200,41.9
2018-08-14,TCEQMAIN-11875,Escherichia coli,26,1209_02,N,1209,1,"c(-96.1818, 30.6074)",NA,NA
2012-07-12,TCEQMAIN-11238,Escherichia coli,5200,1003_02,Y,1003,1,"c(-95.1039, 30.3367)",USGS-08070000,458
2016-04-11,TCEQMAIN-12793,Escherichia coli,62,1901_03,Y,1901,1,"c(-97.6436, 28.7356)",NA,NA
2017-07-12,TCEQMAIN-12074,Escherichia coli,330,1245_01,Y,1245,1,"c(-95.5477, 29.5498)",NA,NA
2014-02-04,TCEQMAIN-11128,Escherichia coli,8800,1007R_04,Y,1007R,1,"c(-95.2278, 29.7717)",NA,NA
2018-01-03,TCEQMAIN-17068,Escherichia coli,31,1102C_01,N,1102C,1,"c(-95.2729, 29.5926)",NA,NA
2012-07-09,TCEQMAIN-11389,Escherichia coli,20000,1017_04,Y,1017,1,"c(-95.4092, 29.7796)",USGS-08074500,506
2015-03-19,TCEQMAIN-16655,Escherichia coli,510,1007N_01,Y,1007N,1,"c(-95.3768, 29.6425)",NA,NA
2017-05-01,TCEQMAIN-10474,Escherichia coli,81,0611B_01,Y,0611B,0,"c(-94.6554, 31.5189)",NA,NA
2018-01-03,TCEQMAIN-16243,Escherichia coli,10,1806_06,N,1806,1,"c(-99.1416, 30.0448)",USGS-08166200,47.5
2014-10-20,TCEQMAIN-12972,Escherichia coli,220,2104_01,Y,2104,0,"c(-98.2849, 28.4239)",NA,NA
2018-11-28,TCEQMAIN-11626,Escherichia coli,10,1256_03,N,1256,0,"c(-97.1701, 31.5972)",NA,NA
2015-08-10,TCEQMAIN-10308,Escherichia coli,110,0404_02,Y,0404,0,"c(-94.8836, 33.0197)",USGS-07344500,8.67
2012-08-02,TCEQMAIN-20777,Escherichia coli,150,1902_01,Y,1902,0,"c(-97.8837, 28.9902)",NA,NA
2018-07-09,TCEQMAIN-17167,Escherichia coli,6,0822A_01,N,0822A,1,"c(-96.9599, 32.8728)",NA,NA
2016-11-30,TCEQMAIN-12074,Escherichia coli,98,1245_01,Y,1245,1,"c(-95.5477, 29.5498)",NA,NA
2018-02-15,TCEQMAIN-16596,Escherichia coli,100,1017E_01,Y,1017E,1,"c(-95.4161, 29.7956)",NA,NA
2012-04-04,TCEQMAIN-12911,Escherichia coli,530,1911_09,Y,1911,1,"c(-98.4694, 29.4634)",USGS-08177700,0.14
2016-03-31,TCEQMAIN-12448,Escherichia coli,27,1427_02,N,1427,0,"c(-97.8389, 30.0948)",NA,NA
2016-06-07,TCEQMAIN-18003,Escherichia coli,170,1226_03,N,1226,0,"c(-97.7579, 31.9903)",NA,NA
2014-10-06,TCEQMAIN-14159,Escherichia coli,320,1009E_01,Y,1009E,1,"c(-95.6302, 29.9774)",NA,NA
2015-07-13,TCEQMAIN-11124,Escherichia coli,860,1016C_01,Y,1016C,1,"c(-95.3472, 29.9169)",NA,NA
2013-10-21,TCEQMAIN-17134,Escherichia coli,32,1804_02,N,1804,0,"c(-97.8809, 29.5358)",USGS-08169792,202
2018-10-22,TCEQMAIN-12795,Escherichia coli,730,1901_05,N,1901,1,"c(-97.8346, 28.9377)",NA,NA
2017-10-04,TCEQMAIN-13079,Escherichia coli,1600,2202_02,Y,2202,0,"c(-97.7008, 26.1735)",USGS-08470400,NA
2018-07-23,TCEQMAIN-13648,Escherichia coli,160,1214_02,N,1214,0,"c(-97.2788, 30.6947)",USGS-08105700,0.84
2018-06-20,TCEQMAIN-17257,Escherichia coli,500,1428C_01,Y,1428C,1,"c(-97.5402, 30.2541)",NA,NA
2018-11-01,TCEQMAIN-11185,Escherichia coli,44000,1008H_01,Y,1008H,1,"c(-95.5071, 30.1144)",USGS-08068325,431
2013-12-18,TCEQMAIN-20774,Escherichia coli,15,0601_04,Y,0601,0,"c(-94.1032, 30.1449)",USGS-08041780,8300
2015-07-15,TCEQMAIN-21465,Escherichia coli,410,1010_02,Y,1010,1,"c(-95.3421, 30.3438)",NA,NA
2018-08-22,TCEQMAIN-14256,Escherichia coli,160,1911_09,Y,1911,1,"c(-98.4947, 29.3931)",USGS-08178000,16.6
2018-02-15,TCEQMAIN-15829,Escherichia coli,410,1017_03,Y,1017,1,"c(-95.4531, 29.8323)",NA,NA
2013-10-07,TCEQMAIN-16662,Escherichia coli,22000,1006F_01,Y,1006F,1,"c(-95.1893, 29.8058)",NA,NA
2013-10-21,TCEQMAIN-15767,Escherichia coli,210,1242_02,N,1242,0,"c(-96.5442, 30.6278)",USGS-08108700,1970
2014-11-11,TCEQMAIN-13700,Escherichia coli,180,1806_01,N,1806,1,"c(-98.3836, 29.8607)",USGS-08167500,58.8
2016-03-16,TCEQMAIN-21016,Escherichia coli,160,1217G_01,N,1217G,0,"c(-97.8887, 31.0063)",NA,NA
2013-08-22,TCEQMAIN-11312,Escherichia coli,80,1008_04,Y,1008,1,"c(-95.4058, 30.0921)",NA,NA
2014-03-11,TCEQMAIN-21125,Escherichia coli,150,1905_02,N,1905,0,"c(-99.2486, 29.7939)",USGS-0817887350,7.87
2016-07-20,TCEQMAIN-11337,Escherichia coli,130,1011_01,Y,1011,1,"c(-95.1683, 30.2328)",USGS-08071000,17.8
2016-02-02,TCEQMAIN-12377,Escherichia coli,2000,1414_05,N,1414,0,"c(-98.7839, 30.2381)",NA,NA
2012-05-08,TCEQMAIN-16663,Escherichia coli,37,1006H_01,Y,1006H,1,"c(-95.2141, 29.8166)",NA,NA
2014-02-05,TCEQMAIN-16596,Escherichia coli,3600,1017E_01,Y,1017E,1,"c(-95.4161, 29.7956)",NA,NA
2016-06-27,TCEQMAIN-15817,Escherichia coli,25,2304_01,Y,2304,0,"c(-99.4536, 27.265)",NA,NA
2012-07-05,TCEQMAIN-12451,Escherichia coli,76,1427_03,N,1427,0,"c(-98.0084, 30.0832)",USGS-08158700,5.67
2014-11-11,TCEQMAIN-12658,Escherichia coli,140,1812_02,N,1812,0,"c(-98.1601, 29.7793)",NA,NA
2012-05-14,TCEQMAIN-20287,Escherichia coli,30,0822_01,N,0822,0,"c(-96.9161, 32.856)",USGS-08055560,64.1
2013-05-24,TCEQMAIN-14256,Escherichia coli,24000,1911_09,Y,1911,1,"c(-98.4947, 29.3931)",USGS-08178000,32
2012-02-13,TCEQMAIN-17134,Escherichia coli,52,1804_02,N,1804,0,"c(-97.8809, 29.5358)",USGS-08169792,555
2016-06-15,TCEQMAIN-10468,Escherichia coli,91,0514_01,Y,0514,0,"c(-95.092, 32.603)",USGS-08019500,127
2018-10-04,TCEQMAIN-18668,Escherichia coli,210,2432B_01,Y,2432B,0,"c(-95.0953, 29.3143)",NA,NA
2016-10-05,TCEQMAIN-14256,Escherichia coli,610,1911_09,Y,1911,1,"c(-98.4947, 29.3931)",USGS-08178000,19.4
2012-10-24,TCEQMAIN-15346,Escherichia coli,10,0607B_01,N,0607B,0,"c(-94.3892, 30.1893)",NA,NA
2017-01-23,TCEQMAIN-16797,Escherichia coli,500,0605A_02,Y,0605A,0,"c(-95.7453, 32.3346)",NA,NA
2017-11-21,TCEQMAIN-16589,Escherichia coli,63,1016A_02,N,1016A,1,"c(-95.2683, 29.9545)",NA,NA
2012-05-02,TCEQMAIN-12640,Escherichia coli,180,1810_01,Y,1810,0,"c(-97.6019, 29.6573)",NA,NA
2012-07-17,TCEQMAIN-10114,Escherichia coli,130,0202E_01,Y,0202E,0,"c(-96.573, 33.6007)",NA,NA
2017-12-13,TCEQMAIN-10415,Escherichia coli,19,0505_01,N,0505,0,"c(-94.2019, 32.1252)",NA,NA
2017-09-26,TCEQMAIN-17489,Escherichia coli,140,1008_03,Y,1008,1,"c(-95.5412, 30.1702)",USGS-08068310,NA
2013-01-14,TCEQMAIN-11376,Escherichia coli,730,1016_01,Y,1016,1,"c(-95.4434, 29.9423)",NA,NA
2017-03-14,TCEQMAIN-12616,Escherichia coli,39,1806_05,N,1806,1,"c(-99.1376, 30.0354)",NA,NA
2014-09-08,TCEQMAIN-10401,Escherichia coli,1,0503_03,N,0503,0,"c(-93.5646, 31.196)",NA,NA
2015-10-21,TCEQMAIN-10636,Escherichia coli,110,0612_01,Y,0612,0,"c(-94.3041, 31.5044)",USGS-08038000,NA
2012-05-30,TCEQMAIN-11888,Escherichia coli,27,1213_01,N,1213,0,"c(-96.9473, 30.8358)",USGS-08106500,113
2015-08-24,TCEQMAIN-11135,Escherichia coli,410,1007D_01,Y,1007D,1,"c(-95.446, 29.6188)",USGS-08075400,9.62
2013-10-07,TCEQMAIN-10058,Escherichia coli,9,0104_02,N,0104,0,"c(-100.2758, 36.2386)",USGS-07235000,0.79
2016-11-03,TCEQMAIN-11930,Escherichia coli,1700,1221_04,N,1221,0,"c(-97.8968, 31.6088)",NA,NA
2016-01-06,TCEQMAIN-13647,Escherichia coli,490,1222C_01,Y,1222C,0,"c(-98.6056, 32.1142)",USGS-08099300,28.4
2015-06-30,TCEQMAIN-10599,Escherichia coli,18,0607_01,N,0607,0,"c(-94.1545, 30.17)",NA,NA
2018-02-27,TCEQMAIN-16353,Escherichia coli,1100,1202J_01,Y,1202J,0,"c(-95.62, 29.3978)",NA,NA
2016-06-07,TCEQMAIN-17612,Escherichia coli,39,1246_01,N,1246,0,"c(-97.3665, 31.5093)",USGS-08095300,240
2013-03-19,TCEQMAIN-17676,Escherichia coli,270,0841F_01,Y,0841F,1,"c(-97.0196, 32.7203)",NA,NA
2018-01-04,TCEQMAIN-11963,Escherichia coli,110,1255_01,Y,1255,0,"c(-98.184, 32.1931)",NA,NA
2017-07-20,TCEQMAIN-11123,Escherichia coli,73,0902_01,Y,0902,0,"c(-95.0541, 30.0358)",NA,NA
2015-04-22,TCEQMAIN-21437,Escherichia coli,370,1218C_01,Y,1218C,0,"c(-97.6922, 31.0974)",NA,NA
2018-03-26,TCEQMAIN-14794,Escherichia coli,20,0604_04,N,0604,0,"c(-95.2858, 31.6294)",NA,NA
2017-02-14,TCEQMAIN-12355,Escherichia coli,520,1409_02,N,1409,0,"c(-98.5645, 31.2185)",USGS-08147000,198
2012-08-28,TCEQMAIN-17675,Escherichia coli,130,0841N_01,Y,0841N,1,"c(-97.0031, 32.6907)",NA,NA
2012-08-14,TCEQMAIN-12647,Escherichia coli,230,1810_02,Y,1810,0,"c(-97.6153, 29.8653)",NA,NA
2017-06-08,TCEQMAIN-15829,Escherichia coli,360,1017_03,Y,1017,1,"c(-95.4531, 29.8323)",NA,NA
2014-01-14,TCEQMAIN-11404,Escherichia coli,110,1113A_01,Y,1113A,1,"c(-95.1142, 29.6339)",NA,NA
2017-04-06,TCEQMAIN-16654,Escherichia coli,41,1007L_01,Y,1007L,1,"c(-95.5058, 29.671)",USGS-08074810,39.1
2016-04-19,TCEQMAIN-11897,Escherichia coli,5500,1217_02,N,1217,0,"c(-98.0164, 31.0817)",USGS-08103800,1040
2016-06-15,TCEQMAIN-11324,Escherichia coli,1400,1009_04,Y,1009,1,"c(-95.3297, 30.0303)",NA,NA
2015-02-12,TCEQMAIN-11877,Escherichia coli,96,1209_05,Y,1209,1,"c(-96.2989, 31.1694)",USGS-08110500,28.4
2012-09-12,TCEQMAIN-12605,Escherichia coli,24,1806_02,N,1806,1,"c(-98.926, 29.9492)",NA,NA
2013-11-20,TCEQMAIN-13185,Escherichia coli,27,2302_07,N,2302,0,"c(-98.8056, 26.3681)",USGS-08464700,NA
2016-06-08,TCEQMAIN-12647,Escherichia coli,200,1810_02,Y,1810,0,"c(-97.6153, 29.8653)",NA,NA
2013-03-12,TCEQMAIN-16594,Escherichia coli,320,1017A_01,Y,1017A,1,"c(-95.4765, 29.8267)",USGS-08074250,NA
2017-01-11,TCEQMAIN-11172,Escherichia coli,620,1007_08,N,1007,0,"c(-95.2097, 29.7146)",NA,NA
2016-03-22,TCEQMAIN-13229,Escherichia coli,10,2306_07,N,2306,0,"c(-104.2866, 29.519)",USGS-08374200,NA
2016-02-16,TCEQMAIN-16595,Escherichia coli,1200,1017D_01,Y,1017D,1,"c(-95.459, 29.8104)",NA,NA
2012-09-19,TCEQMAIN-11235,Escherichia coli,35,1003_01,Y,1003,1,"c(-95.1246, 30.1453)",USGS-08070200,22.3
2012-09-20,TCEQMAIN-15036,Escherichia coli,270,0202A_03,Y,0202A,0,"c(-96.3872, 33.5222)",NA,NA
2012-11-27,TCEQMAIN-17486,Escherichia coli,2600,1113E_01,Y,1113E,1,"c(-95.0765, 29.6591)",NA,NA
2016-11-28,TCEQMAIN-15850,Escherichia coli,330,1007B_01,Y,1007B,1,"c(-95.6045, 29.7215)",USGS-08074760,21.5
2013-04-09,TCEQMAIN-16243,Escherichia coli,48,1806_06,N,1806,1,"c(-99.1416, 30.0448)",USGS-08166200,48.9
2018-03-21,TCEQMAIN-16084,Escherichia coli,410,0612A_01,N,0612A,0,"c(-94.4148, 31.6391)",NA,NA
2013-04-23,TCEQMAIN-17676,Escherichia coli,37,0841F_01,Y,0841F,1,"c(-97.0196, 32.7203)",NA,NA
2014-01-15,TCEQMAIN-16703,Escherichia coli,66,1812_03,N,1812,0,"c(-98.1649, 29.8632)",USGS-08167800,52.8
2015-04-16,TCEQMAIN-21016,Escherichia coli,7,1217G_01,N,1217G,0,"c(-97.8887, 31.0063)",NA,NA
2018-11-20,TCEQMAIN-14202,Escherichia coli,120,1902B_01,N,1902B,0,"c(-98.298, 29.496)",NA,NA
2013-10-01,TCEQMAIN-12386,Escherichia coli,88,1415_01,N,1415,0,"c(-98.6695, 30.7515)",USGS-08151500,193
2017-02-27,TCEQMAIN-16731,Escherichia coli,84,1911_06,N,1911,1,"c(-98.4054, 29.24)",USGS-08181725,NA
2017-08-16,TCEQMAIN-16663,Escherichia coli,160,1006H_01,Y,1006H,1,"c(-95.2141, 29.8166)",NA,NA
2014-04-08,TCEQMAIN-17369,Escherichia coli,770,0806E_01,Y,0806E,1,"c(-97.2947, 32.7475)",NA,NA
2015-07-13,TCEQMAIN-13023,Escherichia coli,25,2117_01,Y,2117,0,"c(-98.5475, 28.4668)",USGS-08206600,3.04
2014-01-29,TCEQMAIN-12154,Escherichia coli,410,1305_02,N,1305,0,"c(-95.8636, 29.0418)",USGS-08117855,NA
2014-01-16,TCEQMAIN-12886,Escherichia coli,120,1911_05,Y,1911,1,"c(-98.3558, 29.2219)",USGS-08181800,133
2018-03-06,TCEQMAIN-12682,Escherichia coli,50,1817_01,N,1817,0,"c(-99.45, 30.058)",NA,NA
2015-05-12,TCEQMAIN-18370,Escherichia coli,700,0202F_01,Y,0202F,0,"c(-96.4811, 33.6503)",NA,NA
2017-10-23,TCEQMAIN-10636,Escherichia coli,1600,0612_01,Y,0612,0,"c(-94.3041, 31.5044)",USGS-08038000,NA
2013-12-04,TCEQMAIN-10191,Escherichia coli,230,0229_01,Y,0229,0,"c(-101.6711, 34.9651)",NA,NA
2015-01-06,TCEQMAIN-20449,Escherichia coli,14,2302_01,N,2302,0,"c(-97.5291, 25.9186)",NA,NA
