MonitoringLocationIdentifier,CharacteristicName,AU,Impaired,TMDL,Completion_Date,geometry,USGSSite_No,tmdl_status,fa_pvalue,fa_kendallsTau,fa_slope,fa_n
TCEQMAIN-11364,Escherichia coli,1014_01,Y,1,2009-06-11,"c(-95.6433, 29.7694)",USGS-08072600,Post-TMDL,0.017754341044107964,-0.188448722695298,-0.12425108188946743,74
TCEQMAIN-11360,Escherichia coli,1014_01,Y,1,2009-06-11,"c(-95.5574, 29.7625)",USGS-08073600,Post-TMDL,0.2762943340148339,-0.08612612612612612,-0.08106835661575568,75
TCEQMAIN-11328,Escherichia coli,1009_04,Y,1,2011-06-29,"c(-95.4292, 30.0358)",USGS-08069000,Post-TMDL,0.2552789173796294,-0.11183673469387755,-0.05460582302120953,50
TCEQMAIN-11126,Escherichia coli,1006D_02,Y,1,2010-09-27,"c(-95.3348, 29.8619)",USGS-08076500,Post-TMDL,0.5039776578779779,-0.05263157894736843,-0.03064570155148786,76
TCEQMAIN-11313,Escherichia coli,1008_03,Y,1,2011-06-29,"c(-95.4367, 30.1103)",USGS-08068500,Post-TMDL,0.6157438685767165,-0.04979591836734694,-0.03108753952441483,50
TCEQMAIN-11185,Escherichia coli,1008H_01,Y,1,2011-06-29,"c(-95.5071, 30.1144)",USGS-08068325,Post-TMDL,0.5410730342425187,-0.050735452016146626,-0.02908584503832632,69
TCEQMAIN-10934,Escherichia coli,0805_03,Y,1,2011-08-03,"c(-96.7357, 32.7074)",USGS-08057410,Post-TMDL,0.5738490427115428,0.06606606606606606,0.07296175486459314,37
TCEQMAIN-11081,Escherichia coli,0841_01,Y,1,2013-11-07,"c(-96.995, 32.7629)",USGS-08049500,Pre-TMDL,0.4625726457286446,0.059959758551307835,0.0317694488775792,71
TCEQMAIN-11363,Escherichia coli,1014_01,Y,1,2009-06-11,"c(-95.6212, 29.7712)",USGS-08073500,Post-TMDL,0.01838830731449804,-0.19014084507042253,-0.08817354586210138,72
TCEQMAIN-11081,Escherichia coli,0841_01,Y,1,2013-11-07,"c(-96.995, 32.7629)",USGS-08049500,Post-TMDL,0.5878049630676369,-0.07692307692307693,-0.08295671148136047,27
TCEQMAIN-11387,Escherichia coli,1017_04,Y,1,2009-06-11,"c(-95.3969, 29.775)",USGS-08074500,Post-TMDL,0.4814161665179121,0.08108108108108107,0.04286294379117528,38
TCEQMAIN-11145,Escherichia coli,1014B_01,Y,1,2009-06-11,"c(-95.8067, 29.7431)",USGS-08072300,Post-TMDL,0.17277617599388587,-0.16302521008403364,-0.07384485043366211,35
TCEQMAIN-11332,Escherichia coli,1009_02,Y,1,2011-06-29,"c(-95.5986, 29.9737)",USGS-08068800,Pre-TMDL,0.17134881455960968,0.1073684210526316,0.09494516129974223,76
TCEQMAIN-11362,Escherichia coli,1014_01,Y,1,2009-06-11,"c(-95.6056, 29.7618)",USGS-08073500,Pre-TMDL,0.9900554344918806,0.0012658227848101266,0.001884985391991435,80
TCEQMAIN-11387,Escherichia coli,1017_04,Y,1,2009-06-11,"c(-95.3969, 29.775)",USGS-08074500,Pre-TMDL,0.1242735588491725,0.1367231638418079,0.1176404487488146,60
TCEQMAIN-11328,Escherichia coli,1009_04,Y,1,2011-06-29,"c(-95.4292, 30.0358)",USGS-08069000,Pre-TMDL,0.012953563794971323,0.19343814080656183,0.2665788471622569,77
TCEQMAIN-11313,Escherichia coli,1008_03,Y,1,2011-06-29,"c(-95.4367, 30.1103)",USGS-08068500,Pre-TMDL,0.10757178337803575,0.18349928876244662,0.1862032570605546,38
TCEQMAIN-11934,Escherichia coli,1221_07,N,0,NA,"c(-98.4593, 31.9578)",USGS-08099500,No-TMDL,0.561074142663793,0.05069124423963133,0.05441298556830638,63
TCEQMAIN-12626,Escherichia coli,1808_03,N,0,NA,"c(-97.6509, 29.6661)",USGS-08172000,No-TMDL,0.08159087643355065,0.14486391571553994,0.09763680153588294,68
TCEQMAIN-10969,Escherichia coli,0810_01,Y,0,NA,"c(-97.5584, 33.0857)",USGS-08044500,No-TMDL,0.3069577126553437,-0.08516242317822652,-0.07965876095176894,68
TCEQMAIN-12615,Escherichia coli,1806_09,N,0,NA,"c(-99.118, 30.011)",USGS-08166250,No-TMDL,0.5910025471263742,0.0443064182194617,0.026765455765278553,70
TCEQMAIN-10054,Escherichia coli,0103_01,N,0,NA,"c(-101.8792, 35.4703)",USGS-07227500,No-TMDL,0.3870139903152246,-0.16176470588235295,-0.2786782386819423,17
TCEQMAIN-10429,Escherichia coli,0506_02,N,0,NA,"c(-95.2068, 32.5597)",USGS-08019200,No-TMDL,0.7415401454482671,-0.029508196721311476,-0.03797999269401919,61
TCEQMAIN-10308,Escherichia coli,0404_02,Y,0,NA,"c(-94.8836, 33.0197)",USGS-07344500,No-TMDL,0.23290059118518391,0.14285714285714288,0.11829322788514549,35
TCEQMAIN-10919,Escherichia coli,0804_04,N,0,NA,"c(-95.7896, 31.6483)",USGS-08065000,No-TMDL,0.7849697273207378,0.043478260869565216,0.07154394518568039,24
TCEQMAIN-10222,Escherichia coli,0303_05,N,0,NA,"c(-95.5947, 33.3554)",USGS-07342500,No-TMDL,0.4487180156191448,0.13725490196078433,0.20697245492069194,18
TCEQMAIN-12038,Escherichia coli,1242_06,N,0,NA,"c(-97.0739, 31.5361)",USGS-08096500,No-TMDL,0.7285705730868868,-0.028985507246376812,-0.04489477213653997,69
TCEQMAIN-12462,Escherichia coli,1434_03,N,0,NA,"c(-97.3227, 30.1098)",USGS-08159200,No-TMDL,0.8330324989520455,0.028225806451612902,0.030020824923560365,32
TCEQMAIN-10398,Escherichia coli,0503_01,N,0,NA,"c(-93.608, 30.7465)",USGS-08028500,No-TMDL,0.8567879006054216,-0.01639344262295082,-0.02841663476931499,61
TCEQMAIN-10602,Escherichia coli,0607_02,N,0,NA,"c(-94.1861, 30.1789)",USGS-08041749,No-TMDL,0.0031528368355193915,0.48421052631578954,0.4893768243584346,20
TCEQMAIN-10579,Escherichia coli,0602_01,N,0,NA,"c(-94.1132, 30.1567)",USGS-08041780,No-TMDL,0.014961017675175685,0.4000000000000001,0.4737656195932427,20
TCEQMAIN-12618,Escherichia coli,1806_11,N,0,NA,"c(-99.1649, 30.0537)",USGS-08166200,No-TMDL,0.16055589143580892,0.3076923076923077,0.19364799123099977,13
TCEQMAIN-12673,Escherichia coli,1815_01,N,0,NA,"c(-98.0948, 29.9915)",USGS-08171000,No-TMDL,0.9224620671867602,0.02105263157894737,0.013747952072547712,20
TCEQMAIN-11897,Escherichia coli,1217_02,N,0,NA,"c(-98.0164, 31.0817)",USGS-08103800,No-TMDL,0.10437064806338607,-0.1292114031840059,-0.12473094663606149,74
TCEQMAIN-10095,Escherichia coli,0214C_01,N,0,NA,"c(-98.4695, 33.9138)",USGS-07312610,No-TMDL,0.3190080301151295,0.16190476190476194,0.18902178671304626,21
TCEQMAIN-10922,Escherichia coli,0804_07,N,0,NA,"c(-96.1026, 32.1478)",USGS-08062700,No-TMDL,0.05065703009411877,0.2964426877470356,0.181834527191192,23
TCEQMAIN-11938,Escherichia coli,1223_01,Y,0,NA,"c(-98.5337, 32.1734)",USGS-08099100,No-TMDL,0.3853099749909061,-0.13043478260869565,-0.13453202701261233,24
TCEQMAIN-12474,Escherichia coli,1428_03,N,0,NA,"c(-97.6911, 30.245)",USGS-08158000,No-TMDL,0.3069529533583134,-0.12903225806451613,-0.1646631088242967,32
TCEQMAIN-12616,Escherichia coli,1806_10,N,0,NA,"c(-99.1376, 30.0354)",USGS-08166200,No-TMDL,0.4644344766548388,0.09852216748768475,0.09049530854375384,29
TCEQMAIN-10991,Escherichia coli,0819_01,Y,0,NA,"c(-96.485, 32.6383)",USGS-08062000,No-TMDL,0.15857024949675513,-0.22077922077922077,-0.18150171365816328,22
TCEQMAIN-10430,Escherichia coli,0506_03,N,0,NA,"c(-95.4857, 32.6129)",USGS-08018500,No-TMDL,0.6974874133044885,-0.03636363636363636,-0.05242387324102849,56
TCEQMAIN-12032,Escherichia coli,1242_04,N,0,NA,"c(-96.825, 31.1339)",USGS-08098290,No-TMDL,0.7128806637550735,-0.031730769230769236,-0.049991355676427957,65
TCEQMAIN-12115,Escherichia coli,1250_01,N,0,NA,"c(-97.6907, 30.626)",USGS-08104900,No-TMDL,0.8337352412499334,-0.04093567251461988,-0.034200158973692614,19
TCEQMAIN-12578,Escherichia coli,1802_01,N,0,NA,"c(-96.8842, 28.5058)",USGS-08188800,No-TMDL,0.13803724654394325,0.1254079254079254,0.07956906041984305,66
TCEQMAIN-10977,Escherichia coli,0814_02,Y,0,NA,"c(-96.5214, 32.1975)",USGS-08064100,No-TMDL,0.0467895211545022,-0.23697478991596643,-0.416270341280136,35
TCEQMAIN-10972,Escherichia coli,0812_01,Y,0,NA,"c(-98.0787, 33.2933)",USGS-08042800,No-TMDL,0.7387187313672434,0.04843304843304843,0.06530284665059373,27
TCEQMAIN-12617,Escherichia coli,1806_10,N,0,NA,"c(-99.1425, 30.0458)",USGS-08166200,No-TMDL,0.14723151128010212,0.11790744466800802,0.07650390410425542,71
TCEQMAIN-12436,Escherichia coli,1427_01,N,0,NA,"c(-97.6889, 30.178)",USGS-08159000,No-TMDL,0.54850039361213,0.07661290322580645,0.03661581607252109,32
TCEQMAIN-10399,Escherichia coli,0503_03,N,0,NA,"c(-93.519, 31.0644)",USGS-08026000,No-TMDL,0.7436872779144916,0.02980713033313851,0.03238308885388065,59
TCEQMAIN-12678,Escherichia coli,1816_01,N,0,NA,"c(-99.247, 30.0733)",USGS-08166000,No-TMDL,0.2673270197885057,0.16996047430830039,0.06338398225440393,23
TCEQMAIN-10171,Escherichia coli,0222_01,N,0,NA,"c(-100.2206, 34.9576)",USGS-07300000,No-TMDL,0.48410753779266236,0.12280701754385964,0.1006229381535058,19
TCEQMAIN-11992,Escherichia coli,1232_03,N,0,NA,"c(-99.6695, 32.6901)",USGS-08084000,No-TMDL,0.6505819869583886,0.0761904761904762,0.05864069593423443,21
TCEQMAIN-11896,Escherichia coli,1217_01,N,0,NA,"c(-97.7786, 30.9725)",USGS-08103940,No-TMDL,0.2600184322532295,0.0994535519125683,0.09578014909121574,61
TCEQMAIN-11967,Escherichia coli,1227_01,N,0,NA,"c(-97.4025, 32.1506)",USGS-08092000,No-TMDL,0.03692007316250187,0.3246753246753247,0.31310082292595726,22
TCEQMAIN-10397,Escherichia coli,0502_02,N,0,NA,"c(-93.7437, 30.3037)",USGS-08030500,No-TMDL,0.7429113478313831,-0.029085140137493387,-0.033076723610066056,62
TCEQMAIN-10218,Escherichia coli,0303_04,N,0,NA,"c(-95.0612, 33.3916)",USGS-07343200,No-TMDL,0.5526151250628483,0.12380952380952383,0.19040957316217305,15
TCEQMAIN-12642,Escherichia coli,1810_01,Y,0,NA,"c(-97.6038, 29.6996)",USGS-08173000,No-TMDL,0.7916993472718744,0.043478260869565216,0.05446110696836016,23
TCEQMAIN-12355,Escherichia coli,1409_02,N,0,NA,"c(-98.5645, 31.2185)",USGS-08147000,No-TMDL,0.4268426087957011,0.10080645161290322,0.0884839594213635,32
TCEQMAIN-11864,Escherichia coli,1206_03,N,0,NA,"c(-98.3023, 32.8632)",USGS-08089000,No-TMDL,0.06953721601007268,-0.15719406041986686,-0.13841309416320965,63
TCEQMAIN-11961,Escherichia coli,1226_04,N,0,NA,"c(-98.035, 31.9772)",USGS-08094800,No-TMDL,0.6647440714786722,-0.0350076103500761,-0.02752420630559064,73
TCEQMAIN-11956,Escherichia coli,1226_02,N,0,NA,"c(-97.5675, 31.7859)",USGS-08095000,No-TMDL,1,0,-6.810882367385663e-4,73
TCEQMAIN-10150,Escherichia coli,0214_03,N,0,NA,"c(-98.4936, 33.9225)",USGS-07312500,No-TMDL,0.6242768461207494,-0.08771929824561403,-0.0645169577326385,19
TCEQMAIN-12674,Escherichia coli,1815_01,N,0,NA,"c(-98.0975, 29.9969)",USGS-08171000,No-TMDL,0.34171788004556686,-0.14624505928853754,-0.11656549534972224,23
TCEQMAIN-12286,Escherichia coli,1402_02,N,0,NA,"c(-96.1, 29.308)",USGS-08162000,No-TMDL,0.2364918152910518,0.14919354838709678,0.0816479744163341,32
TCEQMAIN-10428,Escherichia coli,0506_01,N,0,NA,"c(-94.96, 32.5272)",USGS-08020000,No-TMDL,0.5474185755016796,-0.05435417884278199,-0.050635842526076426,59
TCEQMAIN-10938,Escherichia coli,0806_01,N,0,NA,"c(-97.2889, 32.7523)",USGS-08048543,No-TMDL,0.8980212621322816,0.015384615384615387,0.047835822648660015,40
TCEQMAIN-11709,Escherichia coli,1232A_01,Y,0,NA,"c(-99.6429, 32.9309)",USGS-08084800,No-TMDL,0.8799878558277134,-0.028571428571428574,-0.01194866921931845,21
TCEQMAIN-10199,Escherichia coli,0303B_03,Y,0,NA,"c(-95.0925, 33.3223)",USGS-07343500,No-TMDL,0.7603323075218761,0.07692307692307693,0.08314601139529323,13
TCEQMAIN-11805,Escherichia coli,1220A_02,N,0,NA,"c(-97.8837, 31.2856)",USGS-08101000,No-TMDL,0.7857971061789661,0.04761904761904762,0.041430363586260406,21
TCEQMAIN-12214,Escherichia coli,1406A_01,N,0,NA,"c(-98.4719, 30.5584)",USGS-08152000,No-TMDL,0.26841256273420877,0.1477832512315271,0.13190106916532188,29
TCEQMAIN-10468,Escherichia coli,0514_01,Y,0,NA,"c(-95.092, 32.603)",USGS-08019500,No-TMDL,0.8881072691661932,-0.012211668928086838,-0.008502215854024763,67
TCEQMAIN-12656,Escherichia coli,1812_01,N,0,NA,"c(-98.1069, 29.7139)",USGS-08168500,No-TMDL,0.5683377615538607,-0.08695652173913043,-0.045478358918735876,24
TCEQMAIN-11990,Escherichia coli,1232_02,N,0,NA,"c(-99.6055, 32.7951)",USGS-08084200,No-TMDL,0.03692007316250187,-0.3246753246753247,-0.2327546985597936,22
TCEQMAIN-10058,Escherichia coli,0104_02,N,0,NA,"c(-100.2758, 36.2386)",USGS-07235000,No-TMDL,1,0.006535947712418302,0.012078559228456309,18
TCEQMAIN-12409,Escherichia coli,1421_07,N,0,NA,"c(-100.4108, 31.4534)",USGS-08136000,No-TMDL,0.6242768461207494,0.08771929824561403,0.05932696977129446,19
TCEQMAIN-12392,Escherichia coli,1416_01,Y,0,NA,"c(-98.7199, 31.2132)",USGS-08146000,No-TMDL,0.6381570271128183,-0.06048387096774194,-0.04706930738872289,32
TCEQMAIN-12171,Escherichia coli,1425A_01,N,0,NA,"c(-100.6374, 31.5929)",USGS-08134000,No-TMDL,0.08551480563051518,-0.2842105263157895,-0.2354625290620657,20
TCEQMAIN-12394,Escherichia coli,1417_01,N,0,NA,"c(-98.7407, 31.5175)",USGS-08143600,No-TMDL,0.08271238344821372,0.21774193548387097,0.16912068035576122,32
TCEQMAIN-10607,Escherichia coli,0607_03,N,0,NA,"c(-94.3351, 30.1069)",USGS-08041700,No-TMDL,0.010623249592075872,0.37681159420289856,0.46999882070841903,24
TCEQMAIN-12292,Escherichia coli,1434_01,N,0,NA,"c(-96.887, 29.901)",USGS-08160400,No-TMDL,0.322563517482557,0.125,0.08239517546155972,32
TCEQMAIN-12044,Escherichia coli,1257_01,N,0,NA,"c(-97.2973, 31.8122)",USGS-08093100,No-TMDL,0.038600492115646666,-0.16935817805383022,-0.17732215670807183,70
TCEQMAIN-10853,Escherichia coli,0809A_01,N,0,NA,"c(-97.583, 32.9456)",USGS-08044800,No-TMDL,0.7023236016765462,-0.03900709219858156,-0.062087593039042085,48
TCEQMAIN-12386,Escherichia coli,1415_01,N,0,NA,"c(-98.6695, 30.7515)",USGS-08151500,No-TMDL,0.8119200006410022,-0.03225806451612903,-0.024009485773779825,31
TCEQMAIN-12293,Escherichia coli,1434_02,N,0,NA,"c(-97.1561, 30.0138)",USGS-08159500,No-TMDL,0.10839945747110946,0.20161290322580644,0.12153893656389293,32
TCEQMAIN-11333,Escherichia coli,1009_01,Y,0,NA,"c(-95.7175, 29.9589)",USGS-08068740,No-TMDL,0.1608058768997152,0.14950166112956811,0.10981128920988924,43
TCEQMAIN-10585,Escherichia coli,0604_01,N,0,NA,"c(-94.3995, 31.0247)",USGS-08033500,No-TMDL,0.017289748509042385,0.3353846153846154,0.19035920160256994,26
TCEQMAIN-12643,Escherichia coli,1810_02,Y,0,NA,"c(-97.593, 29.7528)",USGS-08173000,No-TMDL,0.8656490997057351,0.030303030303030304,0.038421355221330146,22
TCEQMAIN-11846,Escherichia coli,1202_02,N,0,NA,"c(-95.7575, 29.5822)",USGS-08114000,No-TMDL,0.11655626839346182,0.12958226768968456,0.18945001460523642,69
TCEQMAIN-11484,Escherichia coli,1108_01,Y,0,NA,"c(-95.3232, 29.3711)",USGS-08078000,No-TMDL,0.9396136982356221,-0.019607843137254905,-0.006503201098045166,18
TCEQMAIN-12222,Escherichia coli,1429C_01,Y,0,NA,"c(-97.7385, 30.2627)",USGS-08157560,No-TMDL,0.16964551331109712,0.20948616600790515,0.15261803837774618,23
TCEQMAIN-10032,Escherichia coli,0101_01,N,0,NA,"c(-100.3706, 35.9355)",USGS-07228000,No-TMDL,0.05559297481886976,-0.31578947368421056,-0.40107792636902373,20
TCEQMAIN-10105,Escherichia coli,0211A_01,N,0,NA,"c(-98.0849, 33.8128)",USGS-07315200,No-TMDL,0.6533346888640261,0.07128726847826362,0.061209518233416374,23
TCEQMAIN-10630,Escherichia coli,0611_02,N,0,NA,"c(-94.9527, 31.6716)",USGS-08036500,No-TMDL,0.9728828650934778,0.0064516129032258064,0.0035529117039726824,31
TCEQMAIN-12517,Escherichia coli,1502_01,N,0,NA,"c(-96.1712, 28.9281)",USGS-08162600,No-TMDL,0.16808028138689657,0.17338709677419356,0.15218689502806348,32
TCEQMAIN-11916,Escherichia coli,1219_01,N,0,NA,"c(-97.3935, 30.9934)",USGS-08104500,No-TMDL,0.7916993472718744,0.043478260869565216,0.011950403168429276,23
TCEQMAIN-12557,Escherichia coli,1810A_01,N,0,NA,"c(-97.6652, 29.8855)",USGS-08172400,No-TMDL,0.6930118863702326,-0.06493506493506493,-0.028116131597480838,22
TCEQMAIN-10070,Escherichia coli,0299A_01,Y,0,NA,"c(-100.1209, 35.4758)",USGS-07301410,No-TMDL,0.9442166279919116,0.017543859649122806,0.010441956834771084,19
TCEQMAIN-12631,Escherichia coli,1809_01,N,0,NA,"c(-97.9157, 29.8714)",USGS-08171350,No-TMDL,0.16298441329664065,0.23157894736842108,0.2599604736745675,20
TCEQMAIN-12401,Escherichia coli,1421_01,N,0,NA,"c(-99.9198, 31.5159)",USGS-08136500,No-TMDL,0.9741177473553713,0.010526315789473686,0.022300913536774707,20
TCEQMAIN-12451,Escherichia coli,1427_03,N,0,NA,"c(-98.0084, 30.0832)",USGS-08158700,No-TMDL,0.9101956836196836,-0.021645021645021644,-0.028802856540720546,22
TCEQMAIN-11594,Escherichia coli,1212B_01,N,0,NA,"c(-96.8174, 30.4063)",USGS-08109800,No-TMDL,0.8711314915971583,0.03157894736842106,0.018562438733355856,20
TCEQMAIN-10925,Escherichia coli,0805_02,N,0,NA,"c(-96.4625, 32.4267)",USGS-08062500,No-TMDL,0.2436925101279052,0.17391304347826086,0.20146964531343553,24
TCEQMAIN-10552,Escherichia coli,0611A_01,Y,0,NA,"c(-94.823, 31.8604)",USGS-08033900,No-TMDL,0.44193101201121243,-0.11594202898550725,-0.059069194811686765,24
TCEQMAIN-16654,Escherichia coli,1007L_01,Y,1,2010-09-27,"c(-95.5058, 29.671)",USGS-08074810,Post-TMDL,0.8592444956476475,-0.014439096630877451,-0.011087882598346303,74
TCEQMAIN-15876,Escherichia coli,1007D_02,Y,1,2010-09-27,"c(-95.417, 29.619)",USGS-08075400,Post-TMDL,0.05900896613626669,-0.14807017543859652,-0.12952365180150804,76
TCEQMAIN-12791,Escherichia coli,1901_02,Y,1,2008-10-20,"c(-97.3848, 28.6498)",USGS-08188500,Post-TMDL,0.0936268355129322,-0.050424498223944764,-0.022003000887676972,495
TCEQMAIN-13778,Escherichia coli,1016_02,Y,1,2010-08-12,"c(-95.4145, 29.9551)",USGS-08075900,Post-TMDL,0.012369462005945195,-0.19888890253010352,-0.15416275183388112,74
TCEQMAIN-15873,Escherichia coli,1007R_03,Y,1,2010-09-27,"c(-95.317, 29.8079)",USGS-08075763,Post-TMDL,0.15434024029127494,0.11764705882352941,0.11366289483190031,69
TCEQMAIN-16596,Escherichia coli,1017E_01,Y,1,2009-06-11,"c(-95.4161, 29.7956)",USGS-08074500,Post-TMDL,0.442758605598952,-0.06409130816505706,-0.05155663761327371,68
TCEQMAIN-15850,Escherichia coli,1007B_01,Y,1,2010-09-27,"c(-95.6045, 29.7215)",USGS-08074760,Post-TMDL,0.07762551738372767,-0.14241001564945227,-0.11811458666145927,72
TCEQMAIN-16628,Escherichia coli,1008C_01,Y,1,2014-02-14,"c(-95.4772, 30.1334)",USGS-08068450,Pre-TMDL,0.11305101958707044,0.24110671936758893,0.09139058482734902,23
TCEQMAIN-15851,Escherichia coli,1007B_01,Y,1,2010-09-27,"c(-95.5709, 29.7055)",USGS-08074760,Post-TMDL,0.6303292623489334,0.03912363067292645,0.030102556022460345,72
TCEQMAIN-15853,Escherichia coli,1007B_01,Y,1,2010-09-27,"c(-95.4928, 29.678)",USGS-08074810,Post-TMDL,0.6716766914524579,0.03424657534246575,0.02292137875311151,73
TCEQMAIN-16657,Escherichia coli,1007M_01,Y,1,2010-09-27,"c(-95.2325, 29.7755)",USGS-08075770,Post-TMDL,0.6767187030486072,-0.034205231388329975,-0.03243980027907147,71
TCEQMAIN-16580,Escherichia coli,1901_05,N,1,2008-10-20,"c(-98.0581, 28.9426)",USGS-08183500,Post-TMDL,0.4058192816973957,-0.06729264475743349,-0.026508504174960548,72
TCEQMAIN-12794,Escherichia coli,1901_04,Y,1,2008-10-20,"c(-97.7371, 28.8487)",USGS-08188060,Post-TMDL,0.8489302730111005,0.010888023174508042,0.0041436722581024025,142
TCEQMAIN-16627,Escherichia coli,1008C_02,Y,1,2014-02-14,"c(-95.4794, 30.1353)",USGS-08068450,Pre-TMDL,0.03692007316250187,0.3246753246753247,0.08635271417683989,22
TCEQMAIN-16631,Escherichia coli,1008E_01,N,1,2014-02-14,"c(-95.4908, 30.1904)",USGS-08068390,Pre-TMDL,0.8215254231894769,0.03896103896103896,0.02067190942977659,22
TCEQMAIN-15847,Escherichia coli,1014K_01,Y,1,2009-06-11,"c(-95.6163, 29.7782)",USGS-08073500,Post-TMDL,0.4167846941814248,0.06479081821547573,0.05268360135977528,74
TCEQMAIN-16665,Escherichia coli,1006J_01,Y,1,2010-09-27,"c(-95.3227, 29.8664)",USGS-08076500,Post-TMDL,0.24927359025181253,-0.09311424100156494,-0.06633809420511722,72
TCEQMAIN-15846,Escherichia coli,1014_01,Y,1,2009-06-11,"c(-95.5309, 29.747)",USGS-08073700,Post-TMDL,0.17193568941362367,-0.11032863849765258,-0.07731266451767235,72
TCEQMAIN-16631,Escherichia coli,1008E_01,N,1,2014-02-14,"c(-95.4908, 30.1904)",USGS-08068390,Post-TMDL,0.69134204811853,-0.06,-0.08519559975287802,25
TCEQMAIN-16627,Escherichia coli,1008C_02,Y,1,2014-02-14,"c(-95.4794, 30.1353)",USGS-08068450,Post-TMDL,0.8348627075364896,-0.03133903133903134,-0.014557586961884084,27
TCEQMAIN-13023,Escherichia coli,2117_01,Y,0,NA,"c(-98.5475, 28.4668)",USGS-08206600,No-TMDL,0.6946444974614776,0.06666666666666668,0.07271847162246196,21
TCEQMAIN-13633,Escherichia coli,0211_02,N,0,NA,"c(-98.24, 33.827)",USGS-07314900,No-TMDL,0.15012271580041373,-0.21415643254898514,-0.2300596410650936,24
TCEQMAIN-12897,Escherichia coli,1911_07,N,0,NA,"c(-98.4489, 29.3195)",USGS-08178565,No-TMDL,0.3844973290117414,0.03369045363033922,0.03669437002807566,300
TCEQMAIN-12899,Escherichia coli,1911_08,Y,0,NA,"c(-98.4636, 29.3463)",USGS-08178565,No-TMDL,0.011916919036077665,-0.19311911716975008,-0.2842783186677355,79
TCEQMAIN-13638,Escherichia coli,1905_01,Y,0,NA,"c(-99.0689, 29.7228)",USGS-08178880,No-TMDL,0.34171788004556686,0.14624505928853754,0.04338913451341586,23
TCEQMAIN-12881,Escherichia coli,1911_03,Y,0,NA,"c(-98.1741, 29.1102)",USGS-08183200,No-TMDL,1.785708048397187e-5,0.16528058577021063,0.11776504858771628,303
TCEQMAIN-15111,Escherichia coli,1806_12,N,0,NA,"c(-99.2263, 30.0675)",USGS-08166140,No-TMDL,0.9578745987779059,0.011857707509881422,0.005862353654971509,23
TCEQMAIN-14211,Escherichia coli,1902_02,Y,0,NA,"c(-97.919, 29.017)",USGS-08186000,No-TMDL,0.005925532746440113,0.10620695735161778,0.058293731123914214,302
TCEQMAIN-13628,Escherichia coli,0505_03,N,0,NA,"c(-94.3538, 32.3288)",USGS-08022040,No-TMDL,0.44786844694867745,-0.06779661016949153,-0.06675071128413128,60
TCEQMAIN-15120,Escherichia coli,0214A_01,N,0,NA,"c(-98.9052, 33.906)",USGS-07312200,No-TMDL,0.674611943553671,-0.07602339181286549,-0.1000880544726443,19
TCEQMAIN-16355,Escherichia coli,1202_01,N,0,NA,"c(-95.5826, 29.3497)",USGS-08116650,No-TMDL,0.17609375529948046,0.11352329262777024,0.1347883219172972,67
